Close,Open,High,Low,Date,Volume,Daily return,Mean of daily returns,Daily return daviations,Square of deviations,Varianca of daily returns,Daily votality,Price Movement,Target
246.72,236.68,247,234.01,28/11/2023,148549913,4.506946798,0.02,-4.48,20.08821725,11.47175016,3.386997219,4.242014534,1
244.14,249.21,252.75,242.76,29/11/2023,135401335,-1.045719844,0,1.04,1.089602569,11.42015455,3.379371916,-2.034428795,0
240.08,245.14,245.22,236.91,30/11/2023,132353196,-1.662980257,0,1.67,2.780185765,11.48238679,3.38856707,-2.064126622,0
238.83,233.14,240.19,231.9,01/12/2023,121331709,-0.52065978,0.01,0.54,0.286411014,11.5351274,3.396340295,2.440593635,1
235.58,235.75,239.37,233.29,04/12/2023,104099817,-1.360800569,0.02,1.38,1.900476918,11.60371714,3.406422924,-0.072110286,0
238.72,233.87,246.66,233.7,05/12/2023,137971115,1.33288055,0.03,-1.31,1.707323053,11.66324622,3.415149516,2.073801685,1
239.37,242.92,246.57,239.17,06/12/2023,126436179,0.272285523,0.02,-0.25,0.064575151,11.72470253,3.424135297,-1.461386465,0
242.64,241.55,244.08,236.98,07/12/2023,107142262,1.366085976,0.02,-1.35,1.821137372,11.79712568,3.434694409,0.451252329,1
243.84,240.27,245.27,239.27,08/12/2023,103126829,0.494559842,0.01,-0.49,0.236588306,11.85947561,3.443758936,1.485828443,1
239.74,242.74,243.44,237.45,11/12/2023,97913888,-1.681430446,0.01,1.69,2.844375706,11.93257553,3.454356023,-1.235890253,0
237.01,238.55,238.99,233.87,12/12/2023,95328313,-1.138733628,0.02,1.15,1.33288206,11.99009578,3.46267177,-0.645566967,0
239.29,234.19,240.3,228.2,13/12/2023,146286348,0.961984726,0.02,-0.94,0.881457544,12.05797613,3.472459665,2.177718946,1
251.05,241.22,253.88,240.79,14/12/2023,160829239,4.914538844,0.02,-4.9,23.98484169,12.12962048,3.482760468,4.075118149,1
253.5,251.21,254.13,248.3,15/12/2023,135932762,0.975901215,-0.01,-0.99,0.980874056,12.05313518,3.471762546,0.911587914,1
